PERIODO,DEPARTAMENTO_META_NOMBRE,MONTO_DEVENGADO,NUMERO_PROYECTO
2015,CUSCO,0,2
2015,LAMBAYEQUE,27339.24,1
2015,LORETO,233840.14,2
2015,PUNO,51740.82,1
2016,LAMBAYEQUE,29804.3,1
2016,LORETO,404667.24,18
2016,PUNO,32568.48,3
2017,ANCASH,9000,1
2017,HUANCAVELICA,29950,3
2017,LORETO,544401.06,13
2018,ANCASH,138037.4,5
2018,HUANCAVELICA,16125,3
2018,ICA,163667.03,7
2018,JUNIN,1800,1
2018,LAMBAYEQUE,122093.67,4
2018,LORETO,94241.56,10
2018,PUNO,5500,1
2018,UCAYALI,88300,4
2019,CUSCO,37061.85,3
2019,HUANCAVELICA,276021.3,9
2019,ICA,17474.12,2
2019,JUNIN,76187.5,1
2019,LAMBAYEQUE,200951.93,9
2019,LORETO,97952.6,2
2019,PASCO,257240.56,2
2019,PIURA,93286.62,3
2019,PUNO,3800,1
2019,UCAYALI,5600,1
2020,AREQUIPA,26826.7,5
2020,CUSCO,1000,3
2020,JUNIN,344725.61,4
2020,LORETO,16760,1
2020,PASCO,126178.43,3
2020,PIURA,319956.09,5
2020,SAN MARTIN,653259.67,19
2020,UCAYALI,368097.75,6
2021,CAJAMARCA,6199.99,1
2021,HUANUCO,56900,5
2021,JUNIN,225016.83,7
2021,LAMBAYEQUE,11800,1
2021,LIMA,13000,1
2021,LORETO,38851.56,5
2021,MOQUEGUA,36149.78,2
2021,SAN MARTIN,1064373.74,41
2021,TUMBES,32069.23,2
