DEPARTAMENTO,YEAR,POP
AMAZONAS,2015,422629
AMAZONAS,2016,411525
AMAZONAS,2017,415469
AMAZONAS,2018,419833
AMAZONAS,2019,423863
AMAZONAS,2020,426806
AMAZONAS,2021,428512
AMAZONAS,2022,429483
ANCASH,2015,1148634
ANCASH,2016,1126698
ANCASH,2017,1140486
ANCASH,2018,1155451
ANCASH,2019,1169522
ANCASH,2020,1180638
ANCASH,2021,1188391
ANCASH,2022,1194156
APURIMAC,2015,458830
APURIMAC,2016,422534
APURIMAC,2017,424717
APURIMAC,2018,427323
APURIMAC,2019,429587
APURIMAC,2020,430736
APURIMAC,2021,430609
APURIMAC,2022,429720
AREQUIPA,2015,1287205
AREQUIPA,2016,1357444
AREQUIPA,2017,1392144
AREQUIPA,2018,1428708
AREQUIPA,2019,1464638
AREQUIPA,2020,1497438
AREQUIPA,2021,1526669
AREQUIPA,2022,1553994
AYACUCHO,2015,688657
AYACUCHO,2016,647794
AYACUCHO,2017,653101
AYACUCHO,2018,659061
AYACUCHO,2019,664494
AYACUCHO,2020,668213
AYACUCHO,2021,669979
AYACUCHO,2022,670579
CAJAMARCA,2015,1529755
CAJAMARCA,2016,1418297
CAJAMARCA,2017,1427598
CAJAMARCA,2018,1438325
CAJAMARCA,2019,1447891
CAJAMARCA,2020,1453711
CAJAMARCA,2021,1455245
CAJAMARCA,2022,1454217
CALLAO,2015,1010315
CALLAO,2016,1025749
CALLAO,2017,1051572
CALLAO,2018,1078789
CALLAO,2019,1105512
CALLAO,2020,1129854
CALLAO,2021,1151480
CALLAO,2022,1171648
CUSCO,2015,1316729
CUSCO,2016,1280145
CUSCO,2017,1299643
CUSCO,2018,1320530
CUSCO,2019,1340457
CUSCO,2020,1357075
CUSCO,2021,1369932
CUSCO,2022,1380594
HUANCAVELICA,2015,494963
HUANCAVELICA,2016,386752
HUANCAVELICA,2017,381277
HUANCAVELICA,2018,376346
HUANCAVELICA,2019,371260
HUANCAVELICA,2020,365317
HUANCAVELICA,2021,358356
HUANCAVELICA,2022,350845
HUANUCO,2015,860537
HUANUCO,2016,752248
HUANUCO,2017,754476
HUANUCO,2018,757467
HUANUCO,2019,759851
HUANUCO,2020,760267
HUANUCO,2021,758416
HUANUCO,2022,755213
ICA,2015,787170
ICA,2016,870166
ICA,2017,896000
ICA,2018,923175
ICA,2019,950100
ICA,2020,975182
ICA,2021,998144
ICA,2022,1020050
JUNIN,2015,1350783
JUNIN,2016,1304632
JUNIN,2017,1319212
JUNIN,2018,1335139
JUNIN,2019,1350021
JUNIN,2020,1361467
JUNIN,2021,1369003
JUNIN,2022,1374221
LA LIBERTAD,2015,855225
LA LIBERTAD,2016,1855780
LA LIBERTAD,2017,1895988
LA LIBERTAD,2018,1938501
LA LIBERTAD,2019,1979901
LA LIBERTAD,2020,2016771
LA LIBERTAD,2021,2048492
LA LIBERTAD,2022,2077345
LAMBAYEQUE,2015,1260650
LAMBAYEQUE,2016,1226321
LAMBAYEQUE,2017,1247616
LAMBAYEQUE,2018,1270295
LAMBAYEQUE,2019,1292105
LAMBAYEQUE,2020,1310785
LAMBAYEQUE,2021,1325912
LAMBAYEQUE,2022,1338994
LIMA,2015,9838251
LIMA,2016,9711755
LIMA,2017,9939885
LIMA,2018,10180641
LIMA,2019,10416139
LIMA,2020,10628470
LIMA,2021,10814450
LIMA,2022,10986006
LORETO,2015,1039372
LORETO,2016,970219
LORETO,2017,984759
LORETO,2018,1000350
LORETO,2019,1015212
LORETO,2020,1027559
LORETO,2021,1037055
LORETO,2022,1044884
MADRE DE DIOS,2015,137316
MADRE DE DIOS,2016,149044
MADRE DE DIOS,2017,155027
MADRE DE DIOS,2018,161324
MADRE DE DIOS,2019,167674
MADRE DE DIOS,2020,173811
MADRE DE DIOS,2021,179688
MADRE DE DIOS,2022,185478
MOQUEGUA,2015,180477
MOQUEGUA,2016,179508
MOQUEGUA,2017,182836
MOQUEGUA,2018,186371
MOQUEGUA,2019,189781
MOQUEGUA,2020,192740
MOQUEGUA,2021,195185
MOQUEGUA,2022,197337
PASCO,2015,304158
PASCO,2016,270648
PASCO,2017,271036
PASCO,2018,271704
PASCO,2019,272157
PASCO,2020,271904
PASCO,2021,270842
PASCO,2022,269296
PIURA,2015,1844129
PIURA,2016,1895889
PIURA,2017,1933993
PIURA,2018,1974368
PIURA,2019,2013517
PIURA,2020,2047954
PIURA,2021,2077039
PIURA,2022,2103099
PUNO,2015,1415608
PUNO,2016,1231778
PUNO,2017,1233676
PUNO,2018,1236836
PUNO,2019,1239022
PUNO,2020,1237997
PUNO,2021,1233277
PUNO,2022,1226353
SAN MARTIN,2015,840790
SAN MARTIN,2016,831960
SAN MARTIN,2017,848910
SAN MARTIN,2018,866861
SAN MARTIN,2019,884283
SAN MARTIN,2020,899648
SAN MARTIN,2021,912674
SAN MARTIN,2022,924384
TACNA,2015,341838
TACNA,2016,337630
TACNA,2017,345911
TACNA,2018,354644
TACNA,2019,363205
TACNA,2020,370974
TACNA,2021,377842
TACNA,2022,384222
TUMBES,2015,237685
TUMBES,2016,230598
TUMBES,2017,235813
TUMBES,2018,241321
TUMBES,2019,246699
TUMBES,2020,251521
TUMBES,2021,255712
TUMBES,2022,259556
UCAYALI,2015,495522
UCAYALI,2016,527717
UCAYALI,2017,542847
UCAYALI,2018,558767
UCAYALI,2019,574509
UCAYALI,2020,589110
UCAYALI,2021,602400
UCAYALI,2022,615024
