PERIODO,DEPARTAMENTO,MONTO_DEVENGADO,NUMERO_PROYECTO
2021,AMAZONAS,5640252.25,103
2021,ANCASH,12976958.21,253
2021,APURIMAC,17978339.82,138
2021,AREQUIPA,2471343.45,110
2021,AYACUCHO,6738951.77,74
2021,CAJAMARCA,64174569.37,257
2021,CUSCO,39408240.04,906
2021,HUANCAVELICA,4597775.3,104
2021,HUANUCO,20463859.34,65
2021,ICA,1164448.07,42
2021,JUNIN,17382529.03,126
2021,LA LIBERTAD,20488837.83,236
2021,LAMBAYEQUE,5463259.35,142
2021,LIMA,11889834.6,153
2021,LORETO,13369337.35,170
2021,MADRE DE DIOS,228365.16,10
2021,MOQUEGUA,4471085.77,291
2021,PASCO,433853.73,11
2021,PIURA,16583263.89,159
2021,PUNO,31147259.74,243
2021,SAN MARTIN,13237093.79,158
2021,TACNA,1933525.2,58
2021,TUMBES,314216,33
2021,UCAYALI,956220.79,31
2015,AMAZONAS,13406220.84,136
2015,ANCASH,9564088.59,215
2015,APURIMAC,3688575.04,167
2015,AREQUIPA,5336748.5,164
2015,AYACUCHO,12290609.84,130
2015,CAJAMARCA,42939823.15,829
2015,CUSCO,39655513.56,1542
2015,HUANCAVELICA,12106317.73,99
2015,HUANUCO,25076377.47,163
2015,ICA,7384595.9,157
2015,JUNIN,9113980.48,164
2015,LA LIBERTAD,27397545.16,306
2015,LAMBAYEQUE,11280813.61,303
2015,LIMA,18365797.23,380
2015,LORETO,13652387.17,310
2015,MADRE DE DIOS,2210370.44,190
2015,MOQUEGUA,2405085.98,199
2015,PASCO,13808711.9,78
2015,PIURA,14070379.54,289
2015,PROVINCIA CONSTITUCIONAL DEL CALLAO,2500,1
2015,PUNO,16056961.62,280
2015,SAN MARTIN,8730563.97,185
2015,TACNA,822489.32,119
2015,TUMBES,1300863.12,30
2015,UCAYALI,5805228.32,113
2016,AMAZONAS,7553919.18,160
2016,ANCASH,18246095.53,319
2016,APURIMAC,11351193.79,208
2016,AREQUIPA,8824846.39,256
2016,AYACUCHO,12609147.91,146
2016,CAJAMARCA,45084357.56,642
2016,CUSCO,37608854.52,1171
2016,HUANCAVELICA,18345989.76,142
2016,HUANUCO,16780489.18,111
2016,ICA,5492630.49,155
2016,JUNIN,8714406.56,92
2016,LA LIBERTAD,7512698.97,185
2016,LAMBAYEQUE,6568799.69,217
2016,LIMA,20576391.14,384
2016,LORETO,16596138.6,354
2016,MADRE DE DIOS,2022553.32,148
2016,MOQUEGUA,2678537.42,129
2016,PASCO,10444544.42,66
2016,PIURA,9031336.11,239
2016,PUNO,25537204.48,304
2016,SAN MARTIN,5602213.6,133
