ANO_EJE,EJECUTORA_NOMBRE,PROVINCIA_EJECUTORA_NOMBRE,TIPO_ACT_PROY,PRODUCTO_PROYECTO_NOMBRE,FUNCION_NOMBRE,DEPARTAMENTO_META_NOMBRE,MONTO_DEVENGADO
2021,MUNICIPALIDAD DISTRITAL DE MOROCOCHA,YAULI,2,CREACION DEL SERVICIO DE ELECTRIFICACION RURAL NO CONVENCIONAL CON PANELES SOLARES EN LA COMUNIDAD DE PUCARA DISTRITO DE MOROCOCHA - PROVINCIA DE YAULI - DEPARTAMENTO DE JUNIN,ENERGIA,JUNIN,32398.59
2021,MUNICIPALIDAD DISTRITAL CANOAS DE PUNTA SAL,CONTRALMIRANTE VILLAR,2,"ADQUISICION DE PARQUE PFV / PANEL FOTOVOLTAICO DOMICILIARIO; EN EL(LA) CENTRO POBLADO PLATERITOS BOSQUE, URBAN DEL DISTRITO DE CANOAS DE PUNTA SAL, PROVINCIA CONTRALMIRANTE VILLAR, DEPARTAMENTO TUMBES",ENERGIA,TUMBES,29569.23
2021,MUNICIPALIDAD DISTRITAL DE SILLAPATA,DOS DE MAYO,2,"ADQUISICION DE PARQUE PFV / PANEL FOTOVOLTAICO DOMICILIARIO; EN EL(LA) SISTEMA DE ELECTRIFICACION RURAL EN LAS LOCALIDADES DE PALLCA, CULEG CHICO, AYAPAMPA Y VINCHUS CHICO DEL DISTRITO DE SILLAPATA, PROVINCIA DOS DE MAYO, DEPARTAMENTO HUANUCO",ENERGIA,HUANUCO,4650
2021,MUNICIPALIDAD DISTRITAL DE SILLAPATA,DOS DE MAYO,2,"ADQUISICION DE PARQUE PFV / PANEL FOTOVOLTAICO DOMICILIARIO; EN EL(LA) SISTEMA DE ELECTRIFICACION RURAL EN LAS LOCALIDADES DE PALLCA, CULEG CHICO, AYAPAMPA Y VINCHUS CHICO DEL DISTRITO DE SILLAPATA, PROVINCIA DOS DE MAYO, DEPARTAMENTO HUANUCO",ENERGIA,HUANUCO,3850
2021,MUNICIPALIDAD DISTRITAL DE MOROCOCHA,YAULI,2,CREACION DEL SERVICIO DE ELECTRIFICACION RURAL NO CONVENCIONAL CON PANELES SOLARES EN LA COMUNIDAD DE PUCARA DISTRITO DE MOROCOCHA - PROVINCIA DE YAULI - DEPARTAMENTO DE JUNIN,ENERGIA,JUNIN,33582.09
2021,MUNICIPALIDAD DISTRITAL DE SILLAPATA,DOS DE MAYO,2,"ADQUISICION DE PARQUE PFV / PANEL FOTOVOLTAICO DOMICILIARIO; EN EL(LA) SISTEMA DE ELECTRIFICACION RURAL EN LAS LOCALIDADES DE PALLCA, CULEG CHICO, AYAPAMPA Y VINCHUS CHICO DEL DISTRITO DE SILLAPATA, PROVINCIA DOS DE MAYO, DEPARTAMENTO HUANUCO",ENERGIA,HUANUCO,3600
2021,MUNICIPALIDAD DISTRITAL DE SILLAPATA,DOS DE MAYO,2,"ADQUISICION DE PARQUE PFV / PANEL FOTOVOLTAICO DOMICILIARIO; EN EL(LA) SISTEMA DE ELECTRIFICACION RURAL EN LAS LOCALIDADES DE PALLCA, CULEG CHICO, AYAPAMPA Y VINCHUS CHICO DEL DISTRITO DE SILLAPATA, PROVINCIA DOS DE MAYO, DEPARTAMENTO HUANUCO",ENERGIA,HUANUCO,34800
2021,MUNICIPALIDAD DISTRITAL DE SILLAPATA,DOS DE MAYO,2,"ADQUISICION DE PARQUE PFV / PANEL FOTOVOLTAICO DOMICILIARIO; EN EL(LA) SISTEMA DE ELECTRIFICACION RURAL EN LAS LOCALIDADES DE PALLCA, CULEG CHICO, AYAPAMPA Y VINCHUS CHICO DEL DISTRITO DE SILLAPATA, PROVINCIA DOS DE MAYO, DEPARTAMENTO HUANUCO",ENERGIA,HUANUCO,10000
2021,MUNICIPALIDAD DISTRITAL CANOAS DE PUNTA SAL,CONTRALMIRANTE VILLAR,2,"ADQUISICION DE PARQUE PFV / PANEL FOTOVOLTAICO DOMICILIARIO; EN EL(LA) CENTRO POBLADO PLATERITOS BOSQUE, URBAN DEL DISTRITO DE CANOAS DE PUNTA SAL, PROVINCIA CONTRALMIRANTE VILLAR, DEPARTAMENTO TUMBES",ENERGIA,TUMBES,2500
2021,MUNICIPALIDAD DISTRITAL DE YAULI,YAULI,2,"CREACION DE PANELES SOLARES PARA LA GENERACION DE ENERGIA ELECTRICA EN LAS LOCALIDADES DE YAULI, POMACOCHA Y PACHACHACA, DEL DISTRITO DE YAULI - PROVINCIA DE YAULI - DEPARTAMENTO DE JUNIN",ENERGIA,JUNIN,9561.85
